id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
1959,2024-08-19 22:25:00.993304+00:00,,True,04B,left_t1,72905731766360058,648518346494975395,[ 25666 111802   3775]
1960,2024-08-19 22:25:00.993915+00:00,,True,04B,left_t1,72905731766359848,648518346472756683,[ 25666 111349   3774]
1961,2024-08-19 22:25:00.994498+00:00,,True,04B,left_t1,72905731766428088,648518346524171525,[ 25666 111498   3804]
1962,2024-08-19 22:25:00.995101+00:00,,True,04B,left_t1,73046263029365776,648518346504917126,[ 29740 105783   3721]
1963,2024-08-19 22:25:00.995703+00:00,,True,04B,left_t1,72905663046850968,648518346484910237,[ 25666 110561   3796]
1964,2024-08-19 22:25:00.996299+00:00,,True,04B,left_t1,72905731766407314,648518346498349906,[ 25666 110633   3800]
1965,2024-08-19 22:25:00.996895+00:00,,True,04B,left_t1,72905731766331083,648518346502715206,[ 25666 111788   3761]
1966,2024-08-19 22:25:00.997476+00:00,,True,04B,left_t1,72905731766309596,648518346489013745,[ 25666 111601   3757]
1967,2024-08-19 22:25:00.998069+00:00,,True,04B,left_t1,72835431674641606,648518346471901851,[ 23385 112935   3715]
1968,2024-08-19 22:25:00.998676+00:00,,True,04B,left_t1,73046263096096338,648518346499915333,[ 29202 105783   3728]
1969,2024-08-19 22:25:00.999380+00:00,,True,04B,left_t1,72905663046865726,648518346486824881,[ 25666 110292   3798]
1970,2024-08-19 22:25:00.999975+00:00,,True,04B,left_t1,73046263029309460,648518346467221486,[ 29573 105783   3721]
1971,2024-08-19 22:25:01.000562+00:00,,True,04B,left_t1,72905731766326442,648518346489686981,[ 25666 111870   3759]
1972,2024-08-19 22:25:01.001172+00:00,,True,04B,left_t1,72905731766333534,648518346490067418,[ 25666 111304   3765]
1973,2024-08-19 22:25:01.001769+00:00,,True,04B,left_t1,72905731766348310,648518346472726219,[ 25666 111628   3768]
1974,2024-08-19 22:25:01.002356+00:00,,True,04B,left_t1,72835363022063493,648518346480647937,[ 24365 112237   3751]
1975,2024-08-19 22:25:01.002962+00:00,,True,04B,left_t1,72905731766287509,648518346489747820,[ 25114 112237   3745]
1976,2024-08-19 22:25:01.003563+00:00,,True,04B,left_t1,72905731699369726,648518346479601371,[ 24682 112237   3720]
1977,2024-08-19 22:25:01.004165+00:00,,True,04B,left_t1,72905731766314217,648518346517205029,[ 25666 111744   3754]
1978,2024-08-19 22:25:01.004764+00:00,,True,04B,left_t1,73046263096160677,648518346474731458,[ 29328 105783   3728]
1979,2024-08-19 22:25:01.005354+00:00,,True,04B,left_t1,73046263095936653,648518346496383756,[ 29396 105201   3728]
3055,2024-08-22 23:18:00.383225+00:00,,True,04B,left_t1,72765131649738390,648518346518501462,[ 21645 114815   3612]
