"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"16015",1571,615,4399,1571,5970,"intrinsic neuron",NA,NA,NA,16015,"IN04B029_T3_L",NA,0.905324518680573,0.0281022470444441,0.060084942728281,0.00648830644786358,"LegNpT3_L","20359,22098,3821","soma",0.905324518680573,"BR","",NA,"Roughly traced","BR",NA,"IN04B029","LegNpT3_L",NA,"IN04B029","VFB_jrcv0ccv","","early secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20359,22098,3821","Traced",615,"acetylcholine",3225,"acetylcholine",945133288,TRUE
"16136",1246,537,3377,1246,4623,"intrinsic neuron",NA,NA,NA,15163,"IN04B022_T3_L",NA,0.722920358181,0.0979358032345772,0.174041897058487,0.00510194478556514,"LegNpT3_L","20265,22109,5049","soma",0.788706362247467,"BR","",NA,"Roughly traced","BR",NA,"IN04B022","LegNpT3_L",NA,"IN04B022","VFB_jrcv0cg8","","early secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"20265,22109,5049","Traced",537,"acetylcholine",2229,"acetylcholine",970607210,TRUE
"16243",909,537,3616,909,4525,"intrinsic neuron","20A in T3 LHS","None",NA,14744,"IN04B032_T3_L",NA,0.862141013145447,0.0499053448438644,0.0824766978621483,0.00547694973647594,"LegNpT3_L","22554,17859,13301","user",0.862141013145447,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_L",NA,"IN04B032","VFB_jrcv0cj7","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"21404,20331,3086","Traced",537,"acetylcholine",5133,"acetylcholine",886100390,TRUE
"16339",702,523,3350,702,4052,"intrinsic neuron","20A in T3 LHS","None",NA,16339,"IN04B026_T3_L",NA,0.850823819637299,0.0511151403188705,0.0934448167681694,0.00461621582508087,"LegNpT3_L","22556,17907,13301","user",0.850823819637299,"IR","",NA,"Roughly traced","IR",NA,"IN04B026","LegNpT3_L",NA,"IN04B026","VFB_jrcv0clv","22634,18019,13301","secondary","04B",13465,"independent leg","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"21477,19825,4065","Traced",523,"acetylcholine",3520,"acetylcholine",873874954,TRUE
"164298",655,225,1355,655,2010,"intrinsic neuron","20A in T3 LHS","None",NA,19661,"IN04B074_T3_L",NA,0.575920522212982,0.211418926715851,0.195449665188789,0.017210902646184,"LegNpT3_L","22629,17893,13301","user",0.579001665115356,"IR","",NA,"Roughly traced","IR",NA,"IN04B074","LegNpT3_L",NA,"IN04B074","VFB_jrcv3iru","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",17584,NA,NA,NA,NA,NA,"",NA,"20582,20365,2448","Traced",225,"acetylcholine",5902,"acetylcholine",360555424,TRUE
"16441",1487,592,4085,1487,5572,"intrinsic neuron",NA,NA,NA,13909,"IN04B068_T3_L",NA,0.868565201759338,0.0399047769606113,0.0859823450446129,0.00554770044982433,"LegNpT3_L","19586,23510,5825","soma",0.871085166931152,"IR","",NA,"Roughly traced","IR",NA,"IN04B068","LegNpT3_L",NA,"IN04B068","VFB_jrcv0cop","","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19586,23510,5825","Traced",592,"acetylcholine",5321,"acetylcholine",859735300,TRUE
"16613",860,622,4106,860,4966,"intrinsic neuron","20A in T3 LHS","None",NA,14744,"IN04B032_T3_L",NA,0.84872442483902,0.0570787452161312,0.0857854560017586,0.00841138698160648,"LegNpT3_L","22557,17975,13301","user",0.847406327724457,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_L",NA,"IN04B032","VFB_jrcv0cth","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19807,19157,2693","Traced",622,"acetylcholine",5133,"acetylcholine",853560640,TRUE
"16619",2294,338,1927,2294,4221,"intrinsic neuron","20A in T3 LHS","None",NA,16619,"IN04B074_T3_L",NA,0.662114083766937,0.18393848836422,0.148409008979797,0.00553841982036829,"LegNpT3_L","22572,17817,13301","user",0.662114083766937,"IR","",NA,"Roughly traced","IR",NA,"IN04B074","LegNpT3_L",NA,"IN04B074","VFB_jrcv0ctn","22634,18019,13301","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"21144,19803,4639","Traced",338,"acetylcholine",5902,"acetylcholine",841865735,TRUE
"16840",1333,535,3603,1333,4936,"intrinsic neuron",NA,NA,NA,16745,"IN04B100_T3_L",NA,0.799572110176086,0.0763084441423416,0.115636691451073,0.00848277006298304,"LegNpT3_L","19088,22452,5410","soma",0.799572110176086,"IR","",NA,"Roughly traced","IR",NA,"IN04B100","LegNpT3_L",NA,"IN04B100","VFB_jrcv0czs","","secondary","04B",14098,"independent leg","T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19088,22452,5410","Traced",535,"acetylcholine",8209,"acetylcholine",821676320,TRUE
"16847",1509,426,3183,1509,4692,"intrinsic neuron","4B in T3 LHS","None",NA,16847,"IN04B054_T3_L",NA,0.910733759403229,0.0343801639974117,0.0497387312352657,0.00514735328033566,"LegNpT3_L","21372,23331,11640","user",0.910733759403229,"BR","",NA,"Roughly traced","BR",NA,"IN04B054","LegNpT3_L",NA,"IN04B054","VFB_jrcv0czz","21328,23494,11640","secondary","04B",NA,NA,"T3","LHS",NA,NA,NA,NA,NA,NA,"",NA,"19798,22519,4777","Traced",426,"acetylcholine",3601,"acetylcholine",818060587,TRUE
