"bodyid","post","pre","downstream","upstream","synweight","class","description","entryNerve","exitNerve","group","name","longTract","ntAcetylcholineProb","ntGabaProb","ntGlutamateProb","ntUnknownProb","origin","location","locationType","predictedNtProb","prefix","rootLocation","rootSide","statusLabel","subclass","synonyms","systematicType","target","transmission","type","vfbId","avgLocation","birthtime","hemilineage","serial","serialMotif","somaNeuromere","somaSide","subcluster","modality","tag","cluster","receptorType","subclassabbr","tosomaLocation","source","somaLocation","status","totalNtPredictions","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","voxels","soma"
"16312",1019,525,3153,1019,4172,"intrinsic neuron","20A in T3 RHS","None",NA,14830,"IN04B060_T3_R",NA,0.931451439857483,0.0152296712622046,0.0486061498522758,0.00471272878348827,"LegNpT3_R","24298,18133,12426","user",0.931667864322662,"BR","",NA,"Roughly traced","BR",NA,"IN04B060","LegNpT3_R",NA,"IN04B060","VFB_jrcv0cl4","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"24450,21143,5635","Traced",525,"acetylcholine",2455,"acetylcholine",879087053,TRUE
"163325",1908,655,4765,1908,6673,"intrinsic neuron","4B? in T3 RHS","None",NA,16015,"IN04B029_T3_R",NA,0.929857492446899,0.0122049134224653,0.0550206229090691,0.0029169621411711,"LegNpT3_R","21882,23609,11060","user",0.929857492446899,"BR","",NA,"Roughly traced","BR",NA,"IN04B029","LegNpT3_R",NA,"IN04B029","VFB_jrcv3i0t","22037,23909,11060","early secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22944,23569,6331","Traced",655,"acetylcholine",3225,"acetylcholine",1053041362,TRUE
"164835",618,181,1158,618,1776,"intrinsic neuron","20A? in T3 RHS","None",NA,159685,"IN04B113_T3_R",NA,0.870322108268738,0.0274296719580889,0.0978090167045593,0.00443919282406569,"LegNpT3_R","24415,18161,12426","user",0.870322108268738,"IR","",NA,"Roughly traced","IR",NA,"IN04B113","LegNpT3_R",NA,"IN04B113","VFB_jrcv3j6r","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"24238,20927,2131","Traced",181,"acetylcholine",372,"acetylcholine",335627415,TRUE
"16745",1294,539,3279,1294,4573,"intrinsic neuron",NA,NA,NA,16745,"IN04B100_T3_R",NA,0.870288848876953,0.0244144108146429,0.0960433781147003,0.00925336498767138,"LegNpT3_R","23285,25098,6133","soma",0.870288848876953,"IR","",NA,"Roughly traced","IR",NA,"IN04B100","LegNpT3_R",NA,"IN04B100","VFB_jrcv0cx5","","secondary","04B",14098,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23285,25098,6133","Traced",539,"acetylcholine",8209,"acetylcholine",839184863,TRUE
"16860",542,432,2557,542,3099,"intrinsic neuron","20A in T3 RHS","None",NA,16860,"IN04B048_T3_R",NA,0.912666738033295,0.0220792647451162,0.0619978941977024,0.00325610255822539,"LegNpT3_R","24281,18222,12426","user",0.912666738033295,"BR","",NA,"Roughly traced","BR",NA,"IN04B048","LegNpT3_R",NA,"IN04B048","VFB_jrcv0d0c","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23859,20947,3748","Traced",432,"acetylcholine",2471,"acetylcholine",816387713,TRUE
"17048",1128,373,2314,1128,3442,"intrinsic neuron","4B in T3 RHS","None",NA,17048,"IN04B052_T3_R",NA,0.829147696495056,0.0465842559933662,0.121005199849606,0.00326284999027848,"LegNpT3_R","21972,23211,11060","user",0.829147696495056,"IR","",NA,"Roughly traced","IR",NA,"IN04B052","LegNpT3_R",NA,"IN04B052","VFB_jrcv0d5k","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23272,23415,5114","Traced",373,"acetylcholine",716,"acetylcholine",793940496,TRUE
"17145",1729,379,2831,1729,4560,"intrinsic neuron","4B in T3 RHS","None",NA,16847,"IN04B054_T3_R",NA,0.921061098575592,0.0174004938453436,0.0589202083647251,0.00261817593127489,"LegNpT3_R.LegNpT3_L","21979,23660,11060","user",0.921061098575592,"BR","",NA,"Roughly traced","BR",NA,"IN04B054","LegNpT3_R",NA,"IN04B054","VFB_jrcv0d89","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22363,24355,5050","Traced",379,"acetylcholine",3601,"acetylcholine",785691970,TRUE
"17208",624,492,2937,624,3561,"intrinsic neuron","20A in T3 RHS","None",NA,17208,"IN04B025_T3_R",NA,0.822984218597412,0.0455564446747303,0.126928374171257,0.00453096488490701,"LegNpT3_R","24310,18209,12426","user",0.822984218597412,"IR","",NA,"Roughly traced","IR",NA,"IN04B025","LegNpT3_R",NA,"IN04B025","VFB_jrcv0da0","24143,18230,12426","secondary","04B",13128,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"24376,21229,4197","Traced",492,"acetylcholine",3613,"acetylcholine",885899419,TRUE
"17415",1883,326,1730,1883,3613,"intrinsic neuron","20A in T3 RHS","None",NA,16619,"IN04B074_T3_R",NA,0.70732593536377,0.103682771325111,0.181062772870064,0.00792851578444242,"LegNpT3_R","24029,18294,12426","user",0.70732593536377,"IR","",NA,"Roughly traced","IR",NA,"IN04B074","LegNpT3_R",NA,"IN04B074","VFB_jrcv0dfr","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"24181,21798,6370","Traced",326,"acetylcholine",5902,"acetylcholine",765893260,TRUE
"17632",2331,338,1945,2331,4276,"intrinsic neuron","20A in T3 RHS","None",NA,17632,"IN04B074_T3_R",NA,0.756723165512085,0.0816622674465179,0.152327641844749,0.0092869009822607,"LegNpT3_R","23982,18281,12426","user",0.756723165512085,"IR","",NA,"Roughly traced","IR",NA,"IN04B074","LegNpT3_R",NA,"IN04B074","VFB_jrcv0dls","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23632,21736,4518","Traced",338,"acetylcholine",5902,"acetylcholine",761371422,TRUE
"17961",719,531,3359,719,4078,"intrinsic neuron","20A in T3 RHS","None",NA,16339,"IN04B026_T3_R",NA,0.889204502105713,0.0360806360840797,0.0693318247795105,0.00538306869566441,"LegNpT3_R","24255,18234,12426","user",0.889204502105713,"IR","",NA,"Roughly traced","IR",NA,"IN04B026","LegNpT3_R",NA,"IN04B026","VFB_jrcv0dux","24143,18230,12426","secondary","04B",13465,"independent leg","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"23885,21290,4319","Traced",531,"acetylcholine",3520,"acetylcholine",878440323,TRUE
"17965",834,587,3620,834,4454,"intrinsic neuron","20A in T3 RHS","None",NA,14744,"IN04B032_T3_R",NA,0.929549336433411,0.0215407833456993,0.0452528111636639,0.00365708977915347,"LegNpT3_R","24181,18215,12426","user",0.929549336433411,"BR","",NA,"Roughly traced","BR",NA,"IN04B032","LegNpT3_R",NA,"IN04B032","VFB_jrcv0dv1","24143,18230,12426","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"24227,21894,5141","Traced",587,"acetylcholine",5133,"acetylcholine",878850079,TRUE
"18285",1536,375,2798,1536,4334,"intrinsic neuron","4B? in T3 RHS","None",NA,16847,"IN04B054_T3_R",NA,0.947659373283386,0.0100001487880945,0.0405017323791981,0.00183871365152299,"LegNpT3_R","22019,23677,11060","user",0.947659373283386,"BR","",NA,"Roughly traced","BR",NA,"IN04B054","LegNpT3_R",NA,"IN04B054","VFB_jrcv0e3x","22037,23909,11060","secondary","04B",NA,NA,"T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"22748,24948,7946","Traced",375,"acetylcholine",3601,"acetylcholine",813345283,TRUE
"18473",1145,254,1590,1145,2735,"ascending neuron","pred ChAT","None","CvC",17924,"AN04B023_T3_R","none",0.947006344795227,0.0120664872229099,0.0389981269836426,0.001929025282152,"LegNpT3_R","25547,35998,67070","user",0.947006344795227,"IA","","RHS","Roughly traced","IA",NA,"AN04B023","LegNpT3_R.LegNpT2_R",NA,"AN04B023","VFB_jrcv0e95","","early secondary","04B",14013,"ascending","T3","RHS",NA,NA,NA,NA,NA,NA,"",NA,"25710,20508,6257","Traced",254,"acetylcholine",1629,"acetylcholine",953003013,TRUE
